Temp,Hum,Output,Time_us
31.21,61.34,35.99293,7.88
26.94,42.69,27.65481,7.88
36.95,78.78,64.54494,7.58
39.97,68.07,70.06222,7.58
35.57,53.10,43.11060,7.58
34.05,53.87,40.27182,7.88
32.57,51.93,36.13801,7.58
27.21,40.34,27.53509,7.88
32.63,73.73,43.91204,7.88
30.68,74.12,38.13796,7.88
39.86,84.95,87.31844,7.58
30.57,67.96,36.60747,7.58
34.22,54.63,40.92200,7.88
29.63,91.22,39.84735,7.88
28.99,85.62,35.71699,7.88
34.62,50.94,40.18290,7.58
28.00,41.99,27.54394,7.88
36.18,49.96,43.39064,7.88
37.96,67.64,59.90160,7.88
31.52,62.89,37.23211,9.33
32.83,66.84,41.61995,8.46
34.27,95.38,63.96189,7.88
33.72,73.41,47.74068,7.88
28.68,94.67,36.72045,7.88
34.70,82.32,56.60255,7.88
36.36,76.19,59.16008,8.46
37.20,78.11,65.23075,7.58
27.98,95.32,34.71692,7.58
37.01,67.08,56.05822,7.58
26.78,78.72,29.55985,7.88
30.94,96.51,47.27788,7.88
27.06,80.82,30.16008,7.58
34.69,62.19,44.54563,7.88
29.60,66.74,33.66376,7.58
28.13,66.39,30.02234,7.88
35.33,42.76,38.90958,7.88
37.40,55.03,49.59090,7.58
33.99,41.18,35.63290,7.58
28.33,96.56,35.92973,7.88
38.04,91.19,82.98553,7.88
26.94,91.12,31.18473,8.75
36.69,60.67,51.00744,7.88
28.79,82.31,34.50224,7.88
34.41,43.27,36.99382,7.88
28.62,57.82,30.36364,7.88
34.36,43.88,37.09549,7.58
28.92,45.51,29.08817,7.88
29.78,57.67,31.83859,8.46
31.76,61.90,37.47661,7.88
36.44,82.97,65.76910,7.88
28.64,98.43,37.71079,7.88
38.27,91.99,85.36604,7.88
33.34,63.67,41.79145,7.88
33.16,72.98,45.41480,7.58
28.23,53.17,29.31003,7.88
35.99,45.29,41.30735,7.88
37.24,98.00,84.70368,7.88
28.43,62.32,30.33959,7.88
27.36,83.64,30.86490,7.88
27.83,99.43,35.05387,7.58
31.04,41.09,30.83665,7.88
36.27,70.91,55.64018,7.58
30.60,64.84,35.69262,7.58
27.00,58.96,27.93694,7.88
34.83,93.71,65.78914,12.25
31.54,93.11,48.75373,7.88
30.60,96.01,45.62032,7.58
37.11,79.95,66.46941,7.58
37.39,53.92,48.80003,7.88
37.29,46.66,44.75325,7.88
29.94,55.11,31.75133,7.58
30.18,44.36,30.39902,7.88
27.90,40.96,27.50121,7.58
31.64,55.15,34.98942,7.58
28.79,98.35,38.34877,7.88
38.42,65.09,60.05931,7.88
35.13,83.07,58.95729,7.58
26.89,98.23,32.18982,7.58
30.43,82.11,39.02958,7.88
32.81,98.28,57.47575,7.58
39.84,61.39,62.80404,7.58
34.55,50.40,39.83258,7.88
29.66,54.02,31.08943,7.58
34.51,97.07,66.67312,7.88
27.52,92.28,32.86263,7.88
28.94,79.00,34.26218,7.88
33.79,57.11,40.71447,7.88
32.32,61.66,38.72280,7.88
31.04,58.89,34.79110,7.88
32.26,97.85,53.86151,7.88
29.98,58.80,32.25457,7.88
27.24,61.50,28.47399,7.58
35.37,97.11,71.67406,7.58
28.81,86.61,35.41246,7.58
31.53,41.23,31.67143,7.88
27.72,56.44,29.11322,7.88
33.44,67.44,43.25858,7.88
39.43,61.63,61.35478,7.88
31.61,55.11,34.90541,7.88
27.54,87.94,32.11777,7.88
32.90,51.93,36.91854,7.58
28.71,84.73,34.76037,7.88
35.03,84.98,59.92281,7.58
32.38,70.68,41.80905,7.88
35.50,74.89,55.20200,7.88
30.13,49.45,31.26453,7.88
27.49,41.35,27.55978,7.58
27.73,50.81,27.87463,7.88
30.21,82.34,38.46263,7.58
38.22,78.31,70.75475,7.58
32.14,72.40,41.80284,7.88
37.04,41.52,42.36717,7.88
39.56,89.47,90.63274,7.58
29.51,70.91,34.24182,7.88
33.88,79.80,52.03325,7.58
38.64,89.66,85.02219,7.88
28.70,96.72,37.44514,7.88
30.11,97.86,44.02938,7.88
32.53,50.80,35.67454,7.88
36.16,65.15,51.75669,11.08
32.73,93.39,53.77712,8.17
36.15,63.52,50.73568,7.58
36.32,44.00,41.60328,9.04
39.65,99.31,102.33054,7.88
35.30,69.83,51.40906,7.58
30.97,89.86,44.86422,7.88
38.85,52.33,52.88746,7.58
37.61,52.75,48.78272,7.88
26.99,74.26,29.35654,7.88
27.98,50.37,28.29289,7.88
36.38,69.74,55.33967,7.88
31.95,74.92,41.83364,10.79
38.82,62.18,59.77830,7.88
31.04,64.17,36.51462,7.88
32.22,47.67,34.44102,7.58
32.40,87.90,49.80750,7.88
29.95,67.71,34.83121,7.88
