Temp,Hum,Output,Time_us
35.99,45.29,41.41367,22.46
37.24,98.00,84.92799,23.92
28.43,62.32,30.00007,22.75
27.36,83.64,30.71342,23.33
27.83,99.43,34.99352,22.46
31.04,41.09,31.42677,23.92
36.27,70.91,55.32398,24.79
30.60,64.84,35.70687,23.92
27.00,58.96,27.86002,23.92
34.83,93.71,65.66756,24.50
31.54,93.11,48.19049,23.33
30.60,96.01,45.33709,23.33
37.11,79.95,66.02423,25.08
37.39,53.92,48.90384,24.79
37.29,46.66,44.62374,23.33
29.94,55.11,31.78345,22.75
30.18,44.36,30.71342,25.08
27.90,40.96,27.86002,24.50
31.64,55.15,35.35020,24.79
28.79,98.35,38.56027,23.63
38.42,65.09,59.60408,23.33
35.13,83.07,58.89073,24.21
26.89,98.23,32.14012,24.50
30.43,82.11,39.27362,24.21
32.81,98.28,57.82071,24.79
39.84,61.39,62.10081,23.92
34.55,50.40,39.63029,23.92
29.66,54.02,31.07010,23.63
34.51,97.07,66.02423,25.96
27.52,92.28,32.49680,22.46
28.94,79.00,34.28017,24.21
33.79,57.11,40.70032,23.33
32.32,61.66,38.91694,25.08
31.04,58.89,34.63684,22.46
32.26,97.85,54.25396,23.33
29.98,58.80,32.49680,24.21
27.24,61.50,28.57337,23.04
35.37,97.11,71.37435,23.63
28.81,86.61,34.99352,24.50
31.53,41.23,31.78345,23.33
27.72,56.44,28.93005,132.13
33.44,67.44,43.55371,35.00
39.43,61.63,61.03078,28.00
31.61,55.11,35.35020,28.29
27.54,87.94,32.14012,26.54
32.90,51.93,37.13357,25.38
28.71,84.73,34.63684,24.79
35.03,84.98,59.96075,29.17
32.38,70.68,41.77034,26.83
35.50,74.89,55.32398,27.71
30.13,49.45,31.42677,27.42
27.49,41.35,27.86002,28.88
27.73,50.81,27.86002,27.71
30.21,82.34,38.56027,26.25
38.22,78.31,71.01767,26.83
32.14,72.40,41.41367,26.25
37.04,41.52,42.84037,26.83
39.56,89.47,90.27811,25.67
29.51,70.91,34.28017,25.96
33.88,79.80,51.75724,27.71
38.64,89.66,84.92799,25.96
28.70,96.72,37.84692,25.96
30.11,97.86,44.26707,25.67
32.53,50.80,35.70687,26.25
36.16,65.15,51.75724,61.25
32.73,93.39,53.89729,169.75
36.15,63.52,50.68721,45.21
36.32,44.00,41.77034,53.08
39.65,99.31,101.69171,31.21
35.30,69.83,51.75724,30.33
30.97,89.86,44.62374,31.50
38.85,52.33,52.47058,27.13
37.61,52.75,48.54716,28.58
26.99,74.26,29.28672,27.42
27.98,50.37,28.21670,26.83
36.38,69.74,55.32398,28.29
31.95,74.92,41.77034,25.08
38.82,62.18,59.24741,26.54
31.04,64.17,36.42022,26.83
32.22,47.67,34.28017,28.88
32.40,87.90,49.97386,25.38
29.95,67.71,34.63684,27.71
35.51,68.46,51.75724,27.13
30.19,82.82,38.20359,25.96
28.06,67.91,30.35675,26.25
39.34,73.65,72.08770,25.38
39.88,70.26,71.01767,25.96
33.52,88.60,54.25396,25.96
36.02,86.29,66.38091,26.25
30.49,56.30,33.21015,25.08
36.73,74.72,58.89073,26.83
39.39,67.61,66.73758,26.54
31.95,53.58,35.35020,27.71
28.09,43.80,27.86002,25.38
29.39,78.09,35.35020,27.13
28.10,84.45,32.85347,26.25
29.49,82.20,36.06355,26.83
37.87,76.08,66.73758,27.71
31.52,80.59,42.84037,27.71
35.64,92.71,69.23430,25.08
30.50,63.91,34.99352,28.00
27.71,48.46,27.86002,28.00
38.30,69.72,63.88418,28.29
39.51,83.73,83.85796,26.25
35.12,99.92,72.44437,25.96
31.60,73.87,40.34364,26.25
29.47,66.95,33.92350,26.25
33.43,42.85,35.35020,27.71
34.53,41.96,36.77689,26.54
39.10,68.19,65.66756,26.54
39.95,71.10,72.80105,26.54
33.00,93.22,55.68066,26.54
35.86,62.44,48.90384,27.71
35.34,45.63,39.63029,25.38
34.44,94.35,63.52750,25.96
32.44,48.60,34.99352,26.25
33.65,95.34,60.67411,27.42
33.36,64.13,42.12702,24.50
31.85,66.24,39.27362,28.29
29.31,47.51,30.00007,27.13
34.22,41.98,36.42022,26.54
26.99,82.76,30.35675,48.71
32.31,48.51,34.63684,43.46
37.18,88.40,74.22775,32.08
34.31,83.39,54.96731,30.63
33.38,84.91,52.11391,29.75
36.82,82.01,66.73758,27.13
38.27,88.45,80.64790,28.00
35.93,68.53,52.82726,25.67
38.37,81.72,74.94110,27.42
29.20,95.20,39.27362,25.38
28.83,95.75,37.84692,27.13
32.97,49.72,36.42022,27.42
28.39,76.11,32.49680,25.96
36.76,87.17,70.66100,26.83
38.18,41.94,44.98042,25.08
37.31,83.93,71.01767,27.13
28.75,69.13,32.14012,28.00
33.32,67.08,42.84037,26.25
33.52,90.24,55.68066,29.17
32.15,45.55,33.56682,27.71
36.84,58.59,50.68721,27.13
31.23,61.28,36.06355,27.71
30.01,72.10,35.70687,31.21
28.21,72.40,31.07010,27.13
33.05,41.50,34.28017,27.13
28.30,54.27,29.64340,27.42
28.17,64.41,30.00007,26.25
39.50,50.26,53.54061,25.67
32.40,65.23,39.98697,26.54
36.66,51.32,44.98042,25.96
30.57,97.94,46.40711,24.79
27.51,66.10,29.28672,26.54
28.35,45.64,27.86002,24.79
31.57,40.90,31.78345,25.96
32.84,83.41,49.26051,27.42
37.65,82.39,71.73103,29.75
39.45,91.63,92.06149,28.00
34.05,64.00,43.55371,27.42
33.91,45.07,36.42022,26.25
34.22,96.63,64.59753,26.25
29.40,92.69,39.27362,27.13
31.84,84.68,46.05044,27.42
38.97,85.93,83.14462,26.54
37.85,98.38,88.85141,58.92
35.76,73.29,54.96731,61.25
27.67,52.25,27.86002,36.46
31.40,94.90,48.90384,30.33
27.16,54.43,27.86002,31.21
38.26,92.11,85.28467,26.83
31.39,54.25,34.28017,27.71
34.16,54.82,40.70032,25.67
34.48,80.28,54.61063,27.71
34.00,51.78,39.27362,26.83
35.80,57.98,46.76379,25.67
34.84,66.96,48.54716,27.71
35.01,53.22,42.12702,29.17
38.24,62.05,57.46403,26.54
33.02,75.62,46.76379,26.83
30.67,60.68,34.63684,26.25
31.14,52.68,33.56682,27.13
30.90,40.76,31.07010,25.38
