Temp,Hum,Output,Time_us
96.60,90.34,155.96136,0.88
86.23,82.56,101.89841,0.58
93.00,47.85,99.42515,0.58
91.15,55.99,100.06312,0.58
97.25,84.42,150.61832,0.58
103.50,40.47,118.07510,0.58
81.70,85.25,89.33585,0.58
94.51,74.29,125.26882,0.58
96.44,79.31,139.49597,0.88
93.61,57.80,107.39223,0.58
101.84,45.00,118.35867,1.17
83.52,87.07,95.24889,0.58
99.23,80.44,154.85629,0.58
95.14,62.19,115.48645,0.58
101.10,55.11,127.37604,0.58
84.22,93.63,100.47178,0.58
102.88,72.19,159.73326,0.58
83.35,44.48,83.34631,0.58
83.71,65.43,88.51339,0.58
83.52,95.70,98.74281,0.88
88.48,77.37,106.13531,0.58
102.70,98.40,212.05881,0.58
94.80,70.64,122.54211,0.58
81.18,59.06,83.15134,0.58
85.57,51.92,87.78429,0.58
90.23,85.52,118.87152,0.58
101.82,79.72,167.53224,0.58
97.45,61.45,122.26877,0.58
99.21,43.91,110.61905,0.88
90.32,40.00,91.15292,0.58
81.41,75.42,86.41545,0.58
88.45,94.33,118.61755,0.58
92.21,62.34,106.90041,0.88
86.68,92.41,109.50561,0.58
84.20,70.68,91.13734,0.58
82.81,54.44,84.49348,0.58
88.16,91.37,114.96561,0.58
88.93,46.89,91.45431,0.58
84.63,61.98,89.19891,0.58
103.46,51.57,130.83229,0.58
84.94,60.61,89.33060,0.58
103.66,50.31,129.86591,0.58
88.77,41.74,89.46012,0.58
82.20,46.68,82.49475,0.58
101.07,85.11,173.09676,0.58
82.94,89.98,94.47615,0.58
99.27,63.37,130.94714,0.58
87.33,46.24,88.75041,0.58
101.55,74.16,156.45717,0.58
88.18,61.34,96.16832,0.58
80.49,42.69,80.51893,0.58
98.51,78.78,148.66940,0.58
103.95,68.07,157.74231,0.58
96.03,53.10,110.15310,0.58
93.29,53.87,103.78452,0.88
90.63,51.93,96.73788,0.58
80.98,40.34,80.66826,0.58
90.73,73.73,110.96867,0.58
87.22,74.12,100.32042,0.58
103.75,84.95,189.28694,0.58
87.03,67.96,96.64729,0.58
93.60,54.63,105.05432,0.58
85.33,91.22,103.46018,0.58
84.18,85.62,96.76790,0.58
94.32,50.94,104.25067,0.58
82.40,41.99,82.04588,0.58
97.12,49.96,110.44439,0.88
100.33,67.64,140.82817,0.58
88.74,62.89,98.24053,1.75
91.09,66.84,106.95322,0.58
93.69,95.38,146.58989,0.58
92.70,73.41,117.52850,0.58
83.62,94.67,98.70922,0.58
94.46,82.32,134.10573,0.88
97.45,76.19,139.98949,0.58
98.96,78.11,149.88533,0.58
82.36,95.32,94.35445,0.88
98.62,67.08,133.08826,0.58
80.20,78.72,84.48092,0.58
87.69,96.51,116.87956,1.75
80.71,80.82,85.91734,0.58
94.44,62.19,113.30911,0.88
85.28,66.74,92.10335,0.58
82.63,66.39,86.77913,0.58
95.59,42.76,101.74017,0.58
99.32,55.03,121.51162,0.58
93.18,41.18,96.29341,0.58
82.99,96.56,97.11440,0.58
100.47,91.19,180.94121,0.58
80.49,91.12,87.22045,0.58
98.04,60.67,123.43870,0.58
83.82,82.31,94.35525,0.58
93.94,43.27,98.75188,0.58
83.52,57.82,86.20655,0.88
93.85,43.88,98.91013,0.58
84.06,45.51,84.29903,0.58
85.60,57.67,89.57909,0.58
89.17,61.90,98.74418,0.58
97.59,82.97,150.25241,0.58
